Product,Sales,Weekday,Month,Latitude,Longitude
27in FHD Monitor,149.99,7,12,37.6445856896168,-122.42218152845
USB-C Charging Cable,23.9,5,12,37.6565980471465,-122.423913744624
Wired Headphones,11.99,1,12,37.7780865615079,-122.39577392039
AAA Batteries (4-pack),11.96,3,12,37.6911046616642,-122.417659107921
Wired Headphones,11.99,3,12,37.7382153037427,-122.424127592664
LG Washing Machine,600,2,12,37.65711589205,-122.50229150821
Lightning Charging Cable,14.95,1,12,37.7368224470495,-122.404533620478
ThinkPad Laptop,999.99,7,12,37.7242648777615,-122.469986959778
Bose SoundSport Headphones,99.99,6,12,37.7218197632335,-122.395131427241
Lightning Charging Cable,14.95,6,12,37.7355902729877,-122.439147796716
Bose SoundSport Headphones,99.99,3,12,37.7944563192323,-122.508426146725
AAA Batteries (4-pack),5.98,3,12,37.6149882979641,-122.466671234885
Macbook Pro Laptop,1700,3,12,37.7073312544365,-122.421347915733
Lightning Charging Cable,14.95,5,12,37.7323925906456,-122.494105706617
Wired Headphones,11.99,7,12,37.6203616198341,-122.477371337088
AAA Batteries (4-pack),8.97,4,12,37.6115868866782,-122.389008603235
Bose SoundSport Headphones,99.99,6,12,37.6405740401678,-122.476728829236
34in Ultrawide Monitor,379.99,6,12,37.7715571762031,-122.467818583974
USB-C Charging Cable,11.95,1,12,37.6514140943916,-122.466077525377
USB-C Charging Cable,23.9,5,12,37.6682289347714,-122.422116698413
AA Batteries (4-pack),7.68,4,12,37.7850175407968,-122.398313493176
AA Batteries (4-pack),11.52,2,12,37.712281328543,-122.495378500672
Bose SoundSport Headphones,99.99,5,12,37.6353158043949,-122.490447690773
Bose SoundSport Headphones,99.99,5,12,37.6985512453076,-122.39176316125
Bose SoundSport Headphones,99.99,6,12,37.6151017726737,-122.406475860065
AAA Batteries (4-pack),2.99,1,12,37.795876756995,-122.446006673338
AA Batteries (4-pack),3.84,7,12,37.671317754783,-122.447211969576
Vareebadd Phone,400,5,12,37.7740596713532,-122.492434731386
USB-C Charging Cable,11.95,5,12,37.7740596713532,-122.492434731386
Lightning Charging Cable,14.95,5,12,37.7369849037204,-122.480931762587
Google Phone,600,7,12,37.6311297858479,-122.441418246609
USB-C Charging Cable,11.95,7,12,37.6311297858479,-122.441418246609
Lightning Charging Cable,14.95,4,12,37.7223200709675,-122.489009472667
34in Ultrawide Monitor,379.99,3,12,37.6668958812951,-122.510359597978
AAA Batteries (4-pack),2.99,6,12,37.7629694357942,-122.414544078913
27in FHD Monitor,149.99,6,12,37.7108976758621,-122.390021318721
Lightning Charging Cable,14.95,2,12,37.6531794078771,-122.438350205757
Bose SoundSport Headphones,99.99,5,12,37.7564603856436,-122.466044250363
Google Phone,600,3,12,37.6248257722229,-122.487390754089
Wired Headphones,11.99,3,12,37.6248257722229,-122.487390754089
USB-C Charging Cable,11.95,6,12,37.6667795367706,-122.423295380868
USB-C Charging Cable,11.95,5,12,37.7888139167626,-122.391470994836
Google Phone,600,1,12,37.713764579226,-122.421574748438
Lightning Charging Cable,14.95,7,12,37.6943984129712,-122.408383454232
34in Ultrawide Monitor,379.99,6,12,37.6828948407651,-122.445536620729
Bose SoundSport Headphones,99.99,4,12,37.6626535533366,-122.402859875664
Lightning Charging Cable,14.95,5,12,37.6564004843966,-122.429973802425
Lightning Charging Cable,14.95,1,12,37.6245217066598,-122.416705691569
Wired Headphones,11.99,5,12,37.7549366648463,-122.464174174631
Lightning Charging Cable,14.95,1,12,37.7303386414685,-122.407804328294
Wired Headphones,11.99,7,12,37.643583996093,-122.495538488642
AA Batteries (4-pack),3.84,5,12,37.704554564355,-122.472719535367
USB-C Charging Cable,11.95,1,12,37.6588325248906,-122.481998367681
AAA Batteries (4-pack),2.99,6,12,37.6536628472825,-122.433692945575
ThinkPad Laptop,999.99,4,12,37.6188519284749,-122.399529748271
